F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,,,,,,,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B,F,B
30000,0.00115347,30000,0.00115552,30000,0.00114996,30000,0.00115173,30000,0.00116211,30000,0.00115966,30000,0.00116169,30000,0.00116801,30000,0.00117106,30000,0.00117061,30000,0.00116606,30000,0.00117285,30000,0.0011746,30000,0.00116494,30000,0.00116736,30000,0.00116708,30000,0.0011656,30000,0.00116765,30000,0.00117685,30000,0.00117251,30000,0.00117958,30000,0.00117208,30000,0.00118448,30000,0.00118178,30000,0.00117644,30000,0.0011827,30000,0.00118199,30000,0.00117989,30000,0.00117849,30000,0.00118002,30000,0.00118381,30000,0.00118381,30000,0.00119057,30000,0.00119058,30000,0.00119058,30000,0.00118506,30000,0.00118932,30000,0.00119485,30000,0.00118268,30000,0.00121961,30000,0.00120049,30000,0.00119592,30000,0.00119069,30000,0.00118478,30000,0.00120128
30100,0.00115727,30100,0.00115934,30100,0.00115369,30100,0.00115548,30100,0.0011656,30100,0.00116332,30100,0.00116535,30100,0.00117177,30100,0.00117486,30100,0.00117445,30100,0.00116987,30100,0.00117671,30100,0.00117847,30100,0.00116886,30100,0.00117119,30100,0.00117083,30100,0.00116942,30100,0.00117152,30100,0.00118073,30100,0.00117629,30100,0.00118343,30100,0.0011759,30100,0.00118836,30100,0.00118564,30100,0.00118025,30100,0.00118652,30100,0.00118581,30100,0.00118371,30100,0.00118232,30100,0.00118383,30100,0.0011877,30100,0.0011877,30100,0.00119442,30100,0.00119442,30100,0.00119442,30100,0.00118895,30100,0.0011932,30100,0.00119869,30100,0.00118642,30100,0.0012236,30100,0.00120425,30100,0.00119969,30100,0.00119444,30100,0.00118856,30100,0.0012051
30200,0.00116096,30200,0.00116308,30200,0.0011575,30200,0.0011592,30200,0.00116957,30200,0.00116712,30200,0.00116919,30200,0.00117567,30200,0.00117877,30200,0.00117825,30200,0.00117376,30200,0.00118061,30200,0.00118242,30200,0.00117265,30200,0.00117503,30200,0.00117469,30200,0.00117323,30200,0.00117531,30200,0.00118456,30200,0.00118018,30200,0.00118728,30200,0.00117987,30200,0.00119224,30200,0.00118953,30200,0.00118417,30200,0.00119041,30200,0.00118965,30200,0.00118762,30200,0.00118624,30200,0.0011877,30200,0.00119159,30200,0.00119159,30200,0.00119834,30200,0.00119832,30200,0.00119832,30200,0.00119283,30200,0.00119703,30200,0.00120257,30200,0.00119029,30200,0.00122759,30200,0.00120812,30200,0.00120364,30200,0.00119828,30200,0.00119235,30200,0.00120911
30300,0.00116478,30300,0.00116691,30300,0.00116136,30300,0.00116298,30300,0.00117335,30300,0.00117083,30300,0.00117286,30300,0.00117944,30300,0.0011826,30300,0.00118216,30300,0.00117763,30300,0.00118449,30300,0.00118625,30300,0.00117648,30300,0.00117892,30300,0.00117859,30300,0.00117706,30300,0.00117913,30300,0.00118842,30300,0.00118406,30300,0.00119117,30300,0.00118377,30300,0.00119616,30300,0.00119346,30300,0.001188,30300,0.00119431,30300,0.00119361,30300,0.00119144,30300,0.00119004,30300,0.00119157,30300,0.00119545,30300,0.00119545,30300,0.00120225,30300,0.00120218,30300,0.00120218,30300,0.00119673,30300,0.00120103,30300,0.00120647,30300,0.00119419,30300,0.00123166,30300,0.00121214,30300,0.0012074,30300,0.0012022,30300,0.00119617,30300,0.00121301
30400,0.0011686,30400,0.00117063,30400,0.00116515,30400,0.00116676,30400,0.00117731,30400,0.00117465,30400,0.00117684,30400,0.00118341,30400,0.00118643,30400,0.00118602,30400,0.0011815,30400,0.00118834,30400,0.00119009,30400,0.00118032,30400,0.00118281,30400,0.00118246,30400,0.00118091,30400,0.00118297,30400,0.00119236,30400,0.00118796,30400,0.00119506,30400,0.0011876,30400,0.00120004,30400,0.00119738,30400,0.00119195,30400,0.00119815,30400,0.0011974,30400,0.0011953,30400,0.00119385,30400,0.00119537,30400,0.00119931,30400,0.00119931,30400,0.00120608,30400,0.00120616,30400,0.00120616,30400,0.00120061,30400,0.00120497,30400,0.0012104,30400,0.00119799,30400,0.0012356,30400,0.00121612,30400,0.00121133,30400,0.00120609,30400,0.0012001,30400,0.00121704
30500,0.00117227,30500,0.00117437,30500,0.00116887,30500,0.00117055,30500,0.00118089,30500,0.00117848,30500,0.00118063,30500,0.00118724,30500,0.00119029,30500,0.00118989,30500,0.00118537,30500,0.00119232,30500,0.00119398,30500,0.00118421,30500,0.00118663,30500,0.00118634,30500,0.00118487,30500,0.00118683,30500,0.00119627,30500,0.0011918,30500,0.00119895,30500,0.00119145,30500,0.00120392,30500,0.00120133,30500,0.0011958,30500,0.00120205,30500,0.00120134,30500,0.00119919,30500,0.00119773,30500,0.00119923,30500,0.00120323,30500,0.00120323,30500,0.00121009,30500,0.00121003,30500,0.00121003,30500,0.00120459,30500,0.00120882,30500,0.00121435,30500,0.00120191,30500,0.00123965,30500,0.00121996,30500,0.00121525,30500,0.00120994,30500,0.00120391,30500,0.001221
30600,0.00117604,30600,0.00117817,30600,0.00117249,30600,0.00117429,30600,0.00118475,30600,0.00118233,30600,0.00118445,30600,0.00119118,30600,0.00119423,30600,0.00119372,30600,0.00118926,30600,0.00119616,30600,0.00119791,30600,0.00118808,30600,0.00119053,30600,0.00119012,30600,0.00118864,30600,0.00119068,30600,0.00120014,30600,0.00119575,30600,0.00120282,30600,0.00119532,30600,0.00120788,30600,0.00120522,30600,0.00119965,30600,0.00120598,30600,0.00120522,30600,0.00120302,30600,0.00120159,30600,0.00120312,30600,0.00120704,30600,0.00120704,30600,0.00121392,30600,0.00121395,30600,0.00121395,30600,0.00120842,30600,0.00121288,30600,0.00121825,30600,0.0012058,30600,0.00124361,30600,0.00122398,30600,0.00121926,30600,0.00121384,30600,0.00120788,30600,0.00122494
30700,0.0011798,30700,0.00118194,30700,0.00117613,30700,0.00117802,30700,0.00118861,30700,0.00118608,30700,0.00118819,30700,0.00119515,30700,0.00119813,30700,0.00119767,30700,0.00119314,30700,0.00120008,30700,0.00120181,30700,0.00119195,30700,0.00119442,30700,0.00119403,30700,0.00119251,30700,0.00119455,30700,0.00120402,30700,0.00119966,30700,0.00120672,30700,0.00119912,30700,0.00121178,30700,0.00120901,30700,0.00120357,30700,0.00120983,30700,0.00120908,30700,0.00120694,30700,0.00120551,30700,0.00120704,30700,0.00121095,30700,0.00121095,30700,0.00121787,30700,0.00121793,30700,0.00121793,30700,0.00121234,30700,0.00121663,30700,0.00122217,30700,0.00120962,30700,0.00124764,30700,0.00122789,30700,0.00122325,30700,0.00121786,30700,0.00121177,30700,0.00122889
30800,0.00118353,30800,0.00118573,30800,0.00117984,30800,0.00118178,30800,0.00119226,30800,0.00118977,30800,0.00119199,30800,0.00119905,30800,0.00120198,30800,0.00120156,30800,0.001197,30800,0.001204,30800,0.00120569,30800,0.00119579,30800,0.00119827,30800,0.00119788,30800,0.0011963,30800,0.00119841,30800,0.00120794,30800,0.00120354,30800,0.00121059,30800,0.00120297,30800,0.00121573,30800,0.00121305,30800,0.00120747,30800,0.00121374,30800,0.00121304,30800,0.0012108,30800,0.00120937,30800,0.00121089,30800,0.00121486,30800,0.00121486,30800,0.00122177,30800,0.00122185,30800,0.00122185,30800,0.00121621,30800,0.00122054,30800,0.00122612,30800,0.00121353,30800,0.00125164,30800,0.00123183,30800,0.00122714,30800,0.00122175,30800,0.00121563,30800,0.0012328
30900,0.00118725,30900,0.00118957,30900,0.00118357,30900,0.00118543,30900,0.00119604,30900,0.00119355,30900,0.0011957,30900,0.00120298,30900,0.0012059,30900,0.00120545,30900,0.00120083,30900,0.00120786,30900,0.00120968,30900,0.00119973,30900,0.00120219,30900,0.00120176,30900,0.00120021,30900,0.00120234,30900,0.00121183,30900,0.00120749,30900,0.00121442,30900,0.00120681,30900,0.00121963,30900,0.00121687,30900,0.00121134,30900,0.00121765,30900,0.00121692,30900,0.00121472,30900,0.00121326,30900,0.00121479,30900,0.00121877,30900,0.00121877,30900,0.00122579,30900,0.0012258,30900,0.0012258,30900,0.00122008,30900,0.00122456,30900,0.00123005,30900,0.00121734,30900,0.00125565,30900,0.00123575,30900,0.00123103,30900,0.00122571,30900,0.00121952,30900,0.00123669
