F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,,,,,,,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G,F,G
30000,3.26E-05,30000,3.34E-05,30000,3.54E-05,30000,3.62E-05,30000,3.68E-05,30000,3.66E-05,30000,3.67E-05,30000,3.69E-05,30000,3.74E-05,30000,3.77E-05,30000,3.74E-05,30000,3.83E-05,30000,3.86E-05,30000,3.74E-05,30000,3.77E-05,30000,3.78E-05,30000,3.78E-05,30000,3.82E-05,30000,3.99E-05,30000,3.96E-05,30000,4.11E-05,30000,4.02E-05,30000,4.08E-05,30000,4.13E-05,30000,4.09E-05,30000,4.14E-05,30000,4.14E-05,30000,4.13E-05,30000,4.12E-05,30000,4.14E-05,30000,4.21E-05,30000,4.21E-05,30000,4.36E-05,30000,4.37E-05,30000,4.37E-05,30000,4.27E-05,30000,4.34E-05,30000,4.40E-05,30000,4.28E-05,30000,4.83E-05,30000,4.48E-05,30000,4.46E-05,30000,4.39E-05,30000,4.36E-05,30000,4.55E-05
30100,3.27E-05,30100,3.35E-05,30100,3.55E-05,30100,3.63E-05,30100,3.69E-05,30100,3.67E-05,30100,3.68E-05,30100,3.69E-05,30100,3.74E-05,30100,3.77E-05,30100,3.74E-05,30100,3.84E-05,30100,3.87E-05,30100,3.74E-05,30100,3.78E-05,30100,3.79E-05,30100,3.79E-05,30100,3.83E-05,30100,4.00E-05,30100,3.97E-05,30100,4.12E-05,30100,4.03E-05,30100,4.09E-05,30100,4.14E-05,30100,4.10E-05,30100,4.15E-05,30100,4.16E-05,30100,4.14E-05,30100,4.14E-05,30100,4.15E-05,30100,4.22E-05,30100,4.22E-05,30100,4.37E-05,30100,4.38E-05,30100,4.38E-05,30100,4.28E-05,30100,4.33E-05,30100,4.41E-05,30100,4.30E-05,30100,4.84E-05,30100,4.49E-05,30100,4.48E-05,30100,4.41E-05,30100,4.37E-05,30100,4.56E-05
30200,3.28E-05,30200,3.37E-05,30200,3.57E-05,30200,3.65E-05,30200,3.70E-05,30200,3.67E-05,30200,3.69E-05,30200,3.70E-05,30200,3.75E-05,30200,3.78E-05,30200,3.75E-05,30200,3.85E-05,30200,3.88E-05,30200,3.76E-05,30200,3.78E-05,30200,3.80E-05,30200,3.80E-05,30200,3.84E-05,30200,4.01E-05,30200,3.98E-05,30200,4.13E-05,30200,4.03E-05,30200,4.11E-05,30200,4.15E-05,30200,4.11E-05,30200,4.17E-05,30200,4.17E-05,30200,4.15E-05,30200,4.16E-05,30200,4.16E-05,30200,4.23E-05,30200,4.23E-05,30200,4.39E-05,30200,4.39E-05,30200,4.39E-05,30200,4.30E-05,30200,4.36E-05,30200,4.43E-05,30200,4.30E-05,30200,4.86E-05,30200,4.50E-05,30200,4.48E-05,30200,4.42E-05,30200,4.38E-05,30200,4.57E-05
30300,3.30E-05,30300,3.39E-05,30300,3.59E-05,30300,3.66E-05,30300,3.71E-05,30300,3.68E-05,30300,3.69E-05,30300,3.69E-05,30300,3.75E-05,30300,3.79E-05,30300,3.76E-05,30300,3.86E-05,30300,3.88E-05,30300,3.76E-05,30300,3.79E-05,30300,3.81E-05,30300,3.81E-05,30300,3.85E-05,30300,4.02E-05,30300,3.99E-05,30300,4.14E-05,30300,4.05E-05,30300,4.12E-05,30300,4.16E-05,30300,4.12E-05,30300,4.18E-05,30300,4.18E-05,30300,4.16E-05,30300,4.16E-05,30300,4.18E-05,30300,4.24E-05,30300,4.24E-05,30300,4.40E-05,30300,4.41E-05,30300,4.41E-05,30300,4.31E-05,30300,4.35E-05,30300,4.44E-05,30300,4.32E-05,30300,4.87E-05,30300,4.52E-05,30300,4.50E-05,30300,4.43E-05,30300,4.39E-05,30300,4.59E-05
30400,3.32E-05,30400,3.40E-05,30400,3.62E-05,30400,3.68E-05,30400,3.73E-05,30400,3.69E-05,30400,3.70E-05,30400,3.70E-05,30400,3.76E-05,30400,3.80E-05,30400,3.77E-05,30400,3.87E-05,30400,3.90E-05,30400,3.77E-05,30400,3.80E-05,30400,3.83E-05,30400,3.83E-05,30400,3.86E-05,30400,4.03E-05,30400,4.00E-05,30400,4.15E-05,30400,4.06E-05,30400,4.13E-05,30400,4.18E-05,30400,4.12E-05,30400,4.19E-05,30400,4.19E-05,30400,4.18E-05,30400,4.18E-05,30400,4.19E-05,30400,4.26E-05,30400,4.26E-05,30400,4.41E-05,30400,4.42E-05,30400,4.42E-05,30400,4.33E-05,30400,4.38E-05,30400,4.46E-05,30400,4.33E-05,30400,4.89E-05,30400,4.53E-05,30400,4.50E-05,30400,4.44E-05,30400,4.40E-05,30400,4.60E-05
30500,3.34E-05,30500,3.42E-05,30500,3.64E-05,30500,3.68E-05,30500,3.73E-05,30500,3.70E-05,30500,3.71E-05,30500,3.71E-05,30500,3.77E-05,30500,3.80E-05,30500,3.77E-05,30500,3.88E-05,30500,3.90E-05,30500,3.78E-05,30500,3.82E-05,30500,3.83E-05,30500,3.83E-05,30500,3.87E-05,30500,4.04E-05,30500,4.01E-05,30500,4.17E-05,30500,4.07E-05,30500,4.14E-05,30500,4.19E-05,30500,4.14E-05,30500,4.21E-05,30500,4.21E-05,30500,4.19E-05,30500,4.19E-05,30500,4.21E-05,30500,4.27E-05,30500,4.27E-05,30500,4.43E-05,30500,4.43E-05,30500,4.43E-05,30500,4.34E-05,30500,4.38E-05,30500,4.48E-05,30500,4.35E-05,30500,4.90E-05,30500,4.54E-05,30500,4.51E-05,30500,4.44E-05,30500,4.41E-05,30500,4.61E-05
30600,3.35E-05,30600,3.43E-05,30600,3.66E-05,30600,3.70E-05,30600,3.77E-05,30600,3.72E-05,30600,3.72E-05,30600,3.72E-05,30600,3.79E-05,30600,3.82E-05,30600,3.78E-05,30600,3.89E-05,30600,3.91E-05,30600,3.79E-05,30600,3.83E-05,30600,3.85E-05,30600,3.84E-05,30600,3.87E-05,30600,4.05E-05,30600,4.01E-05,30600,4.18E-05,30600,4.09E-05,30600,4.16E-05,30600,4.20E-05,30600,4.15E-05,30600,4.21E-05,30600,4.22E-05,30600,4.20E-05,30600,4.20E-05,30600,4.21E-05,30600,4.28E-05,30600,4.28E-05,30600,4.44E-05,30600,4.45E-05,30600,4.45E-05,30600,4.35E-05,30600,4.42E-05,30600,4.49E-05,30600,4.36E-05,30600,4.92E-05,30600,4.56E-05,30600,4.52E-05,30600,4.45E-05,30600,4.42E-05,30600,4.62E-05
30700,3.35E-05,30700,3.44E-05,30700,3.67E-05,30700,3.71E-05,30700,3.77E-05,30700,3.73E-05,30700,3.73E-05,30700,3.72E-05,30700,3.79E-05,30700,3.82E-05,30700,3.79E-05,30700,3.90E-05,30700,3.92E-05,30700,3.80E-05,30700,3.83E-05,30700,3.85E-05,30700,3.85E-05,30700,3.88E-05,30700,4.07E-05,30700,4.03E-05,30700,4.20E-05,30700,4.10E-05,30700,4.16E-05,30700,4.21E-05,30700,4.16E-05,30700,4.23E-05,30700,4.24E-05,30700,4.21E-05,30700,4.21E-05,30700,4.22E-05,30700,4.29E-05,30700,4.29E-05,30700,4.46E-05,30700,4.45E-05,30700,4.45E-05,30700,4.37E-05,30700,4.41E-05,30700,4.50E-05,30700,4.37E-05,30700,4.94E-05,30700,4.57E-05,30700,4.54E-05,30700,4.47E-05,30700,4.43E-05,30700,4.64E-05
30800,3.36E-05,30800,3.45E-05,30800,3.68E-05,30800,3.72E-05,30800,3.78E-05,30800,3.73E-05,30800,3.74E-05,30800,3.74E-05,30800,3.81E-05,30800,3.83E-05,30800,3.80E-05,30800,3.91E-05,30800,3.93E-05,30800,3.82E-05,30800,3.85E-05,30800,3.86E-05,30800,3.86E-05,30800,3.89E-05,30800,4.07E-05,30800,4.04E-05,30800,4.22E-05,30800,4.11E-05,30800,4.18E-05,30800,4.22E-05,30800,4.17E-05,30800,4.24E-05,30800,4.25E-05,30800,4.22E-05,30800,4.23E-05,30800,4.24E-05,30800,4.31E-05,30800,4.31E-05,30800,4.47E-05,30800,4.48E-05,30800,4.48E-05,30800,4.39E-05,30800,4.44E-05,30800,4.51E-05,30800,4.38E-05,30800,4.95E-05,30800,4.58E-05,30800,4.55E-05,30800,4.48E-05,30800,4.45E-05,30800,4.66E-05
30900,3.36E-05,30900,3.47E-05,30900,3.68E-05,30900,3.73E-05,30900,3.78E-05,30900,3.74E-05,30900,3.74E-05,30900,3.75E-05,30900,3.82E-05,30900,3.85E-05,30900,3.82E-05,30900,3.91E-05,30900,3.94E-05,30900,3.82E-05,30900,3.86E-05,30900,3.87E-05,30900,3.87E-05,30900,3.90E-05,30900,4.09E-05,30900,4.05E-05,30900,4.23E-05,30900,4.12E-05,30900,4.20E-05,30900,4.24E-05,30900,4.19E-05,30900,4.25E-05,30900,4.25E-05,30900,4.24E-05,30900,4.24E-05,30900,4.25E-05,30900,4.32E-05,30900,4.32E-05,30900,4.49E-05,30900,4.49E-05,30900,4.49E-05,30900,4.41E-05,30900,4.46E-05,30900,4.54E-05,30900,4.39E-05,30900,4.96E-05,30900,4.60E-05,30900,4.56E-05,30900,4.49E-05,30900,4.46E-05,30900,4.67E-05
